ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-1-65240-415-6,Business-focused multimedia artificial intelligence,Dr Connor Kelly,Young Adult,1963,9,2016-10-12,Damaged,978-1-65240-415-6
978-1-7338484-2-8,Proactive scalable implementation,Diane Mann,Reference,1956,4,2021-01-24,Reserved,978-1-7338484-2-8
978-0-308-33016-0,Down-sized demand-driven toolset,Jamie Lee,Fiction,1994,2,2022-08-17,Available,978-0-308-33016-0
978-1-120-82677-0,Inverse analyzing firmware,Mr Liam Bell,Fiction,1968,0,2020-05-09,Checked Out,978-1-120-82677-0
978-1-5401-9380-3,Balanced full-range paradigm,Danielle Hall,Young Adult,1950,8,2020-01-23,Available,978-1-5401-9380-3
978-1-206-72400-6,Inverse client-server concept,Miss Danielle Wright,Young Adult,1985,1,2017-01-07,Missing,978-1-206-72400-6
978-0-547-88728-9,Virtual grid-enabled database,Donald Gregory,Fiction,1982,4,2024-03-08,Damaged,978-0-547-88728-9
978-1-315-27420-1,Multi-layered bandwidth-monitored core,Hugh Ward,Fiction,2019,1,2022-08-23,Missing,978-1-315-27420-1
978-1-932966-85-5,Optional explicit circuit,Mrs Ellie Palmer,Young Adult,1963,4,2017-02-11,Available,978-1-932966-85-5
978-1-122-75304-3,Assimilated reciprocal open architecture,Jay Hale,Reference,1980,4,2021-03-02,Damaged,978-1-122-75304-3
978-0-7454-9904-8,Advanced tangible functionalities,Danielle Waters,Reference,1991,4,2018-12-02,Reserved,978-0-7454-9904-8
978-0-01-742684-0,Networked explicit array,Mr Leon Richards,Reference,1995,0,2017-05-21,Damaged,978-0-01-742684-0
978-1-59332-727-9,Exclusive intermediate hierarchy,Miss Jessica Simpson,Fiction,1992,8,2026-04-11,Available,978-1-59332-727-9
978-1-878339-18-8,Diverse tangible hierarchy,Angela Rowe-Thomas,Young Adult,1966,7,2017-10-07,Reserved,978-1-878339-18-8
978-1-191-08839-8,Versatile secondary orchestration,George Thompson,Children,2000,6,2021-09-13,Missing,978-1-191-08839-8
978-0-587-13971-3,Expanded high-level Local Area Network,Mohammad Kay,Reference,1978,10,2022-12-16,Missing,978-0-587-13971-3
978-0-7286-7908-5,Intuitive object-oriented framework,Ms Ann Rose,Reference,1994,9,2022-11-27,Available,978-0-7286-7908-5
978-1-06-403910-6,Grass-roots mobile Graphic Interface,Hilary Dixon,Young Adult,1983,2,2020-12-12,Missing,978-1-06-403910-6
978-1-180-17046-2,Multi-channeled hybrid hierarchy,Mrs Amanda Lewis,Children,1960,4,2024-04-07,Checked Out,978-1-180-17046-2
978-0-656-76618-5,Profound systematic process improvement,Mohammed Turner,Reference,1952,4,2018-07-07,Missing,978-0-656-76618-5
9781128682309,Ergonomic interactive matrix,Dr Debra Clements,Children,2008,10,2017-01-28,Damaged,9781128682309
9781786863379,Configurable user-facing ability,Jennifer Clarke,Young Adult,1972,5,2017-03-17,Checked Out,9781786863379
9780431069036,Face-to-face secondary task-force,Garry Hughes-Thornton,Reference,1986,7,2022-11-27,Damaged,9780431069036
978-0-19-079030-1,Synergized zero tolerance firmware,Deborah Atkins,Young Adult,1960,9,2023-11-13,Reserved,978-0-19-079030-1
978-1-383-02843-0,Extended full-range forecast,Roger Mitchell,Non-Fiction,1955,1,2021-01-13,Damaged,978-1-383-02843-0
978-1-342-83644-1,Re-contextualized motivating moderator,Terry Wilson-Field,Children,2013,2,2021-09-12,Missing,978-1-342-83644-1
978-0-687-05685-9,Exclusive next generation solution,Paula Hayes,Young Adult,1965,7,2025-03-04,Reserved,978-0-687-05685-9
978-1-246-28733-2,Extended 5thgeneration process improvement,Mr Ronald Conway,Young Adult,2016,5,2025-10-25,Missing,978-1-246-28733-2
978-0-7086-6882-5,Mandatory context-sensitive architecture,Mrs Grace Chapman,Fiction,1967,10,2026-05-07,Damaged,978-0-7086-6882-5
978-0-435-17518-4,Multi-tiered intangible adapter,Dr Vincent Wood,Non-Fiction,2007,6,2022-11-25,Available,978-0-435-17518-4
978-0-469-90139-1,Universal user-facing collaboration,Scott Jones-Hunt,Fiction,1999,6,2021-04-03,Checked Out,978-0-469-90139-1
978-1-354-03317-3,Inverse intangible benchmark,Teresa Parker,Reference,2001,6,2025-08-06,Available,978-1-354-03317-3
978-0-638-54678-1,Automated didactic adapter,Louise Ball,Non-Fiction,1989,9,2023-08-27,Missing,978-0-638-54678-1
978-1-4587-7175-9,Expanded optimal Graphical User Interface,Mrs Louise Glover,Non-Fiction,1984,6,2024-08-17,Missing,978-1-4587-7175-9
978-1-56093-204-8,Right-sized multimedia definition,Barbara Gould,Reference,2002,7,2020-01-18,Available,978-1-56093-204-8
978-1-235-36937-7,Fundamental bandwidth-monitored firmware,Jennifer Bolton,Fiction,2000,5,2018-10-20,Damaged,978-1-235-36937-7
978-1-77725-228-1,Devolved incremental synergy,Philip Clark-Pritchard,Non-Fiction,2013,7,2018-07-11,Reserved,978-1-77725-228-1
978-0-8080-1006-7,Phased bi-directional Graphical User Interface,Jack Phillips,Fiction,1970,1,2017-09-28,Reserved,978-0-8080-1006-7
978-0-12-038750-2,Secured hybrid matrix,Gerald Hughes,Young Adult,1966,3,2021-06-30,Available,978-0-12-038750-2
978-1-00-886008-7,Automated zero administration artificial intelligence,Benjamin Dawson,Non-Fiction,1991,2,2024-02-10,Reserved,978-1-00-886008-7
978-1-08-621182-5,Cross-platform demand-driven conglomeration,Miss Lucy Chapman,Non-Fiction,1975,5,2018-03-30,Checked Out,978-1-08-621182-5
978-0-9845461-5-2,Synergized hybrid core,Miss Wendy Carroll,Children,1999,0,2023-04-20,Available,978-0-9845461-5-2
978-1-933410-16-6,Expanded content-based structure,Ms Tracey Howells,Reference,1991,8,2025-04-14,Missing,978-1-933410-16-6
978-1-870021-76-0,Mandatory leadingedge artificial intelligence,Julian Smith,Children,1999,1,2018-07-01,Damaged,978-1-870021-76-0
978-0-8033-9740-8,Reactive bandwidth-monitored help-desk,Kerry Cook-Price,Non-Fiction,1963,5,2026-05-18,Available,978-0-8033-9740-8
978-1-890250-39-3,Realigned upward-trending leverage,Ms Vanessa Palmer,Children,1969,0,2025-04-16,Reserved,978-1-890250-39-3
9781142939687,Extended full-range interface,Claire Scott-Jackson,Non-Fiction,1992,3,2016-08-22,Available,9781142939687
978-1-218-50163-3,Seamless well-modulated pricing structure,Robin Bond,Non-Fiction,1965,8,2026-04-12,Reserved,978-1-218-50163-3
978-1-9996504-7-6,Right-sized uniform hub,Jodie Booth,Children,2002,0,2020-11-10,Reserved,978-1-9996504-7-6
978-0-586-62961-1,Re-contextualized hybrid open system,Leon Sullivan,Reference,1979,4,2023-03-05,Checked Out,978-0-586-62961-1
978-0-11-426265-5,Customer-focused non-volatile project,Aimee Pearce,Non-Fiction,1969,2,2022-02-11,Available,978-0-11-426265-5
978-0-10-475412-2,Synergized logistical flexibility,Mrs Angela Henry,Fiction,1960,2,2023-02-02,Missing,978-0-10-475412-2
978-0-678-88610-6,Right-sized tangible protocol,Karen Sanders,Children,1983,3,2017-05-28,Available,978-0-678-88610-6
978-1-81995-604-7,Mandatory bifurcated methodology,Dr Elliot Carter,Children,1959,4,2025-07-22,Available,978-1-81995-604-7
978-1-183-98262-8,Organized demand-driven groupware,Caroline Thompson,Reference,2012,8,2021-03-25,Checked Out,978-1-183-98262-8
978-1-4472-1264-5,De-engineered motivating time-frame,Dr Dennis Hunt,Children,1975,10,2021-07-06,Damaged,978-1-4472-1264-5
978-1-71543-799-2,Public-key holistic moratorium,Dr Kenneth Rees,Young Adult,2019,2,2020-05-07,Reserved,978-1-71543-799-2
9781124065960,Cloned analyzing structure,Denis Gibbons,Fiction,1969,1,2025-02-16,Available,9781124065960
978-1-56924-593-4,Versatile attitude-oriented function,Mohammad Smith-Hall,Young Adult,2017,2,2024-05-14,Checked Out,978-1-56924-593-4
978-1-265-47935-0,Open-architected upward-trending hierarchy,Jacob Morris,Fiction,1977,7,2017-04-11,Missing,978-1-265-47935-0
9781651939826,Mandatory heuristic intranet,Ryan Adams,Reference,2016,1,2025-10-26,Missing,9781651939826
9781374167247,Synergized analyzing protocol,Mr Dale Butcher,Fiction,1951,0,2020-08-21,Missing,9781374167247
978-1-266-17979-2,Realigned responsive moratorium,Roger French,Young Adult,1969,4,2022-08-05,Checked Out,978-1-266-17979-2
978-1-80589-113-0,Robust content-based groupware,Dr Timothy Smith,Young Adult,1994,7,2018-02-08,Missing,978-1-80589-113-0
978-0-909656-10-2,Cross-platform empowering open system,Zoe Thompson-Spencer,Reference,2005,3,2019-12-14,Reserved,978-0-909656-10-2
978-1-388-89937-0,Reactive intermediate analyzer,Ms Sian Morgan,Children,2014,7,2016-07-17,Damaged,978-1-388-89937-0
978-1-79825-071-6,Secured multimedia benchmark,Daniel Richardson,Children,1994,2,2016-12-21,Damaged,978-1-79825-071-6
978-1-112-54573-3,Re-engineered uniform superstructure,Dylan Jackson-Saunders,Non-Fiction,1988,8,2024-06-23,Missing,978-1-112-54573-3
978-1-71775-140-9,Innovative value-added benchmark,Susan Evans-Howard,Reference,1968,3,2019-12-25,Damaged,978-1-71775-140-9
978-0-512-38282-5,Synchronized attitude-oriented strategy,Hazel Phillips,Non-Fiction,1990,4,2022-10-15,Reserved,978-0-512-38282-5
978-1-7362266-0-5,Universal cohesive policy,Marc Walker-Gill,Non-Fiction,1966,10,2019-01-16,Reserved,978-1-7362266-0-5
978-1-966033-41-7,Enterprise-wide composite website,Miss Kimberley Kirk,Non-Fiction,1991,1,2023-06-02,Available,978-1-966033-41-7
978-0-553-71478-4,Team-oriented directional standardization,Craig Hussain,Young Adult,2017,10,2018-08-13,Missing,978-0-553-71478-4
978-1-969155-79-6,Up-sized hybrid access,Dr Philip Smith,Non-Fiction,2020,0,2021-11-12,Reserved,978-1-969155-79-6
978-1-991251-34-3,Configurable logistical forecast,Guy White-Owen,Fiction,1981,4,2018-11-13,Reserved,978-1-991251-34-3
978-0-528-66929-3,Re-engineered tangible standardization,Dr Arthur Riley,Children,1979,8,2024-01-05,Missing,978-0-528-66929-3
978-1-278-28274-9,Enterprise-wide local utilization,Dr Tony Davis,Non-Fiction,2015,7,2016-09-07,Checked Out,978-1-278-28274-9
978-0-579-05072-9,Cross-platform neutral project,Lee O'Brien,Fiction,1983,7,2019-07-25,Damaged,978-0-579-05072-9
978-1-887676-77-9,Visionary human-resource info-mediaries,Danielle Young,Young Adult,2005,6,2024-04-15,Damaged,978-1-887676-77-9
978-0-903404-38-9,Public-key 6thgeneration portal,Dr David Wade,Fiction,2018,2,2022-07-29,Missing,978-0-903404-38-9
978-0-7978-8191-4,Persistent optimizing strategy,Katy Williams,Reference,2013,4,2018-12-18,Reserved,978-0-7978-8191-4
978-1-80783-613-9,Cross-platform systemic functionalities,Ian Tucker,Reference,2007,1,2019-11-29,Checked Out,978-1-80783-613-9
978-0-7451-7133-3,Extended disintermediate capability,Matthew Kirk,Fiction,2010,5,2024-12-13,Checked Out,978-0-7451-7133-3
978-1-292-33095-2,Expanded disintermediate methodology,Frank Winter,Fiction,1977,6,2020-05-22,Missing,978-1-292-33095-2
978-0-544-94812-9,Integrated secondary encoding,Shane Wall,Children,1974,1,2021-12-31,Reserved,978-0-544-94812-9
978-0-422-32536-3,Enterprise-wide zero administration hub,Joan Hopkins,Non-Fiction,2000,2,2017-11-17,Available,978-0-422-32536-3
978-0-946671-16-8,Synergized bifurcated Graphic Interface,Alice Wilson,Fiction,2011,4,2016-07-27,Available,978-0-946671-16-8
978-1-77590-175-4,Enterprise-wide global implementation,Gavin Dixon,Children,1983,3,2024-02-18,Available,978-1-77590-175-4
978-1-363-74545-6,Cloned content-based encoding,Carol Evans,Fiction,1951,6,2022-06-11,Available,978-1-363-74545-6
978-1-5001-7012-7,Profit-focused discrete pricing structure,Kayleigh Banks-Marshall,Children,1986,5,2018-01-27,Checked Out,978-1-5001-7012-7
978-1-06-324241-5,Open-source solution-oriented Internet solution,Tracey Chan,Reference,1998,4,2025-04-30,Reserved,978-1-06-324241-5
978-1-152-06436-2,Ameliorated optimizing pricing structure,Clare Graham,Young Adult,1989,4,2023-01-10,Checked Out,978-1-152-06436-2
978-0-03-712938-7,Integrated system-worthy open system,Catherine Wallis,Non-Fiction,1958,9,2024-09-14,Missing,978-0-03-712938-7
978-0-05-162713-5,Sharable global customer loyalty,Dr Robin Hughes,Young Adult,1962,1,2018-07-26,Reserved,978-0-05-162713-5
978-0-11-554262-6,Integrated intangible strategy,Maria Barlow,Non-Fiction,1979,3,2025-10-10,Reserved,978-0-11-554262-6
978-0-89092-753-3,Inverse composite contingency,Stanley Kirk,Reference,2007,2,2017-11-20,Missing,978-0-89092-753-3
978-1-9731-1219-8,Inverse systemic data-warehouse,Dr Conor Knowles,Young Adult,2009,0,2023-10-01,Available,978-1-9731-1219-8
978-1-65234-138-3,Universal radical knowledge user,Mr Scott Anderson,Fiction,1955,3,2020-07-23,Reserved,978-1-65234-138-3
978-0-438-98364-9,Organic logistical functionalities,Trevor Watkins,Non-Fiction,1987,4,2018-09-16,Missing,978-0-438-98364-9
978-0-7613-7918-8,Enhanced bottom-line secured line,Frederick Savage,Reference,2013,5,2023-05-01,Missing,978-0-7613-7918-8
978-1-5269-6582-0,Implemented 24hour Internet solution,Tracey Wilkins-Murray,Children,2020,6,2025-12-13,Available,978-1-5269-6582-0
978-0-09-104300-1,User-centric secondary archive,Miss Nicola Bryan,Reference,2017,8,2019-02-09,Available,978-0-09-104300-1
978-1-86661-889-9,Persevering motivating database,Kimberley Ball,Young Adult,2015,6,2016-08-22,Available,978-1-86661-889-9
978-1-141-83285-9,Open-architected dedicated circuit,Elliott Brown,Non-Fiction,1964,5,2018-05-23,Missing,978-1-141-83285-9
978-0-463-03161-2,Future-proofed object-oriented budgetary management,Jane Taylor-Davies,Reference,1969,7,2017-09-30,Missing,978-0-463-03161-2
978-0-421-02027-6,Robust responsive infrastructure,Chelsea McDonald,Children,1977,7,2018-03-02,Damaged,978-0-421-02027-6
978-1-252-41056-4,Distributed upward-trending archive,Nicole May,Non-Fiction,2015,2,2019-02-10,Damaged,978-1-252-41056-4
978-0-491-77850-3,Intuitive executive customer loyalty,Dr Anna Bond,Children,2024,0,2025-12-09,Checked Out,978-0-491-77850-3
978-0-524-19138-5,Polarized reciprocal Internet solution,Hugh Rogers,Non-Fiction,1965,2,2021-04-16,Checked Out,978-0-524-19138-5
978-0-03-075622-1,Enterprise-wide human-resource policy,Dennis Ellis,Non-Fiction,1979,9,2016-07-17,Reserved,978-0-03-075622-1
978-1-353-65419-5,Cross-group system-worthy emulation,Natalie Daniels,Children,2021,0,2022-08-24,Damaged,978-1-353-65419-5
978-0-8023-8061-6,Realigned user-facing website,Henry Wells-Barker,Fiction,1987,7,2024-10-17,Checked Out,978-0-8023-8061-6
978-1-4518-7053-4,Adaptive composite project,Dr Elizabeth Gibbs,Fiction,1989,8,2020-05-05,Checked Out,978-1-4518-7053-4
978-1-937597-38-2,Implemented real-time forecast,Anthony Baxter,Young Adult,2021,7,2020-01-06,Reserved,978-1-937597-38-2
978-0-06-038505-7,Integrated user-facing knowledgebase,Dr Helen Simpson,Young Adult,2010,7,2023-11-20,Reserved,978-0-06-038505-7
978-1-4138-3670-7,Expanded needs-based forecast,Ben Simpson,Fiction,2008,0,2017-12-30,Checked Out,978-1-4138-3670-7
978-1-103-86571-0,Assimilated intangible migration,Tracy Coates,Young Adult,1999,6,2021-01-29,Reserved,978-1-103-86571-0
978-0-619-90623-8,Intuitive tertiary initiative,Natasha Marsh,Young Adult,1951,0,2024-01-11,Damaged,978-0-619-90623-8
978-1-56557-431-1,Re-contextualized homogeneous implementation,Hazel Hudson,Young Adult,1967,2,2022-08-24,Missing,978-1-56557-431-1
978-0-912127-75-0,Secured content-based complexity,Leslie Watson-Price,Non-Fiction,1965,2,2022-06-27,Missing,978-0-912127-75-0
978-0-85374-741-3,Reactive motivating groupware,Mr Phillip Pearce,Non-Fiction,1965,9,2018-05-29,Checked Out,978-0-85374-741-3
978-0-490-35213-1,Triple-buffered zero administration definition,Jodie Pratt-Summers,Reference,2003,8,2026-02-05,Checked Out,978-0-490-35213-1
978-1-80442-067-6,User-centric asynchronous artificial intelligence,Jessica Khan,Young Adult,2021,4,2018-08-15,Damaged,978-1-80442-067-6
978-0-7121-0032-8,Streamlined client-driven emulation,Dr Stanley Allen,Non-Fiction,2004,4,2019-10-20,Checked Out,978-0-7121-0032-8
978-1-5199-4101-5,Cross-platform system-worthy software,Naomi Johnson,Reference,1976,3,2026-04-24,Available,978-1-5199-4101-5
978-1-215-10702-9,Automated maximized collaboration,Sandra Thomas,Children,1996,10,2018-07-17,Missing,978-1-215-10702-9
978-1-70662-532-2,Multi-layered user-facing neural-net,Natalie Wilson,Young Adult,2022,2,2021-11-27,Available,978-1-70662-532-2
978-1-72099-934-8,Synergistic heuristic architecture,Geraldine Baldwin,Young Adult,2001,10,2018-11-27,Damaged,978-1-72099-934-8
978-1-870146-26-5,Virtual regional paradigm,Damian Bell,Fiction,1984,8,2018-12-07,Reserved,978-1-870146-26-5
978-0-8065-7875-0,Switchable logistical portal,Beverley Fisher,Non-Fiction,1962,2,2021-03-04,Checked Out,978-0-8065-7875-0
9781420593044,Organic national complexity,Lynn Bailey,Children,1983,3,2022-01-04,Reserved,9781420593044
978-1-85932-133-1,Implemented contextually-based capacity,Alex Barker,Reference,1985,9,2024-01-28,Missing,978-1-85932-133-1
9780396522393,Open-source full-range benchmark,Pamela Holmes-Coles,Fiction,1964,8,2020-04-06,Reserved,9780396522393
978-1-905992-93-5,Persevering encompassing customer loyalty,Nicole Nash,Young Adult,1994,1,2016-09-22,Checked Out,978-1-905992-93-5
978-1-270-10393-6,Progressive asymmetric function,Declan Simpson,Children,1973,1,2022-01-25,Available,978-1-270-10393-6
978-1-05-932525-2,Innovative non-volatile pricing structure,Benjamin Fox,Young Adult,1980,7,2023-07-12,Missing,978-1-05-932525-2
978-0-292-18515-9,Digitized actuating conglomeration,Mr Ryan Martin,Fiction,2010,0,2024-02-02,Reserved,978-0-292-18515-9
978-0-545-22675-2,Programmable encompassing encoding,Raymond Grant,Reference,1978,6,2026-06-29,Reserved,978-0-545-22675-2
978-1-392-64422-5,Configurable optimal strategy,Kevin Mitchell,Reference,1962,1,2017-04-01,Damaged,978-1-392-64422-5
978-1-902959-39-9,Sharable leadingedge parallelism,Ms Alison Brown,Children,2024,5,2019-11-15,Reserved,978-1-902959-39-9
978-1-251-35521-7,Adaptive logistical system engine,Jemma Schofield-Manning,Reference,1997,9,2019-04-27,Reserved,978-1-251-35521-7
978-1-04-331541-2,Front-line composite intranet,Naomi Thompson,Non-Fiction,1959,9,2022-01-30,Checked Out,978-1-04-331541-2
978-0-676-26765-5,Streamlined 24hour circuit,Elliot White-Watson,Young Adult,2023,3,2019-02-18,Available,978-0-676-26765-5
978-0-7932-7104-7,Customizable zero tolerance installation,Hazel Patel,Non-Fiction,2002,3,2018-08-17,Damaged,978-0-7932-7104-7
978-1-4115-2621-1,Synergized incremental workforce,Abigail Holden,Children,2023,7,2021-09-10,Checked Out,978-1-4115-2621-1
978-1-997062-96-7,Progressive zero administration groupware,Mr Toby Riley,Young Adult,2001,7,2018-10-27,Damaged,978-1-997062-96-7
978-0-15-336884-4,Front-line motivating benchmark,Grace Brown,Reference,2013,7,2025-07-01,Damaged,978-0-15-336884-4
978-1-310-69872-9,Intuitive mission-critical structure,Sean Hamilton,Children,2022,3,2018-12-04,Reserved,978-1-310-69872-9
978-1-06-149731-2,Open-source cohesive conglomeration,Miss Abbie Phillips,Reference,2004,1,2023-09-07,Checked Out,978-1-06-149731-2
978-0-241-71467-6,De-engineered high-level utilization,Stuart Hill,Children,1961,7,2017-05-01,Reserved,978-0-241-71467-6
978-1-186-25652-8,Optional discrete functionalities,Garry Ford,Reference,1959,9,2024-06-26,Reserved,978-1-186-25652-8
978-0-477-43490-4,Open-source executive toolset,Dr Charlie Craig,Non-Fiction,2021,0,2021-07-02,Missing,978-0-477-43490-4
978-0-15-869380-4,Polarized bi-directional core,Amelia Walker,Reference,1988,2,2017-01-30,Damaged,978-0-15-869380-4
978-1-879374-16-4,Cross-platform zero-defect approach,Sylvia Brooks,Young Adult,1966,3,2025-11-23,Checked Out,978-1-879374-16-4
978-0-17-223320-8,Programmable zero administration service-desk,Dr Glenn O'Neill,Reference,1951,10,2017-06-24,Damaged,978-0-17-223320-8
